id;age;lines;client_time;income;bill;residence_time;cable_tv;auto_debt;canceled
1;51;3;26;5320;543;7,3;yes;no;0
2;36;2;16;5620;482;4,5;yes;no;0
3;35;1;15;4860;593;4,8;no;no;0
4;44;1;16;5400;646;6,3;yes;yes;1
5;40;1;22;6590;1184;6,2;yes;no;0
6;52;1;30;6370;634;2,2;no;no;0
7;28;2;16;4710;326;4,3;yes;no;1
8;34;3;20;8710;1668;4,1;no;yes;1
9;38;3;16;6120;146;5,6;yes;no;0
10;27;1;18;5600;1273;4,8;no;yes;0
11;45;3;29;10080;717;4,1;yes;no;0
12;35;1;12;4720;446;6,9;no;no;0
13;30;1;21;5840;184;7,2;yes;yes;0
14;28;1;15;5950;617;4,2;yes;no;1
15;44;2;34;13550;1367;4,9;yes;yes;0
16;30;1;23;5750;856;8,1;no;no;0
17;39;2;20;6870;592;6,1;no;yes;0
18;39;2;21;6880;593;2,8;no;no;0
19;45;3;18;7160;285;8;yes;yes;0
20;29;2;14;4980;311;5,9;no;yes;0
21;40;2;25;8800;1280;0,9;no;yes;0
22;31;2;16;5040;517;2,3;yes;no;0
23;33;1;25;6440;861;7,3;yes;yes;0
24;33;1;24;6390;207;4,3;yes;yes;0
25;39;2;29;10800;686;4,6;no;no;0
26;29;2;13;4230;106;4,8;yes;no;0
27;49;1;27;7510;275;6,6;no;yes;0
28;46;3;28;9420;841;5,6;no;yes;0
29;44;1;23;6400;134;6,2;yes;no;0
30;54;1;22;6020;207;6,5;yes;no;0
31;31;1;23;6050;146;4,9;yes;yes;0
32;26;2;13;6060;715;5;yes;no;0
33;54;3;16;5710;121;3,8;no;yes;0
34;35;3;16;6530;338;4,7;yes;yes;1
35;37;1;12;5430;579;5,2;yes;no;1
36;34;3;16;6410;1236;5,2;yes;yes;1
37;47;1;40;18770;2239;5,6;yes;no;0
38;49;2;39;17330;422;4,1;yes;no;0
39;29;2;18;5750;301;4,8;no;no;1
40;44;1;29;9940;688;4,5;yes;yes;0
41;32;1;15;5270;584;5,7;yes;no;0
42;51;1;12;4850;71;4,6;yes;yes;0
43;29;2;14;6150;984;2;yes;no;0
44;34;3;13;6640;229;5,9;no;yes;0
45;45;1;23;6950;773;7;yes;no;0
46;35;2;19;4910;779;5,3;yes;yes;1
